University Name,Country,Number of Students,International Students
California Institute of Technology,United States of America,"2,243",605.61
University of Oxford,United Kingdom,"19,919",6772.46
Stanford University,United States of America,"15,596",3431.12
University of Cambridge,United Kingdom,"18,812",6396.08
Massachusetts Institute of Technology,United States of America,"11,074",3654.42
Harvard University,United States of America,"20,152",5038
Princeton University,United States of America,"7,929",2140.83
Imperial College London,United Kingdom,"15,060",7680.6
ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,"18,178",6725.86
University of Chicago,United States of America,"14,221",2986.41